task,model_name,point_index,false_positive_rate,true_positive_rate,threshold
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,7,0.4375,0.5,0.5597640482217157
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,8,0.5625,0.5,0.4342533039317616
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,9,0.5625,0.8333333333333334,0.42793040371298113
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,10,0.625,0.8333333333333334,0.4075096165072254
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,11,0.625,1.0,0.35646312231921945
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,12,1.0,1.0,0.10385699450430624
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,0,0.0,0.0,inf
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,1,0.0625,0.0,0.9024238962913251
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,2,0.25,0.0,0.7957257715213738
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,3,0.25,0.3333333333333333,0.748520785693117
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,4,0.3125,0.3333333333333333,0.708209542495706
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,5,0.3125,0.5,0.6719922454913033
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,6,0.375,0.5,0.5690560417743166
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,7,0.375,0.8333333333333334,0.47823472136877904
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,8,0.6875,0.8333333333333334,0.2291261766038964
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,9,0.6875,1.0,0.19993949811828723
tubular_adenoma_vs_non_neoplastic,Low-signal morphology baseline,10,1.0,1.0,0.018931849223890518
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,0,0.0,0.0,inf
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,1,0.0625,0.0,0.9981540498474742
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,2,0.0625,0.16666666666666666,0.9303210767287811
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,3,0.125,0.16666666666666666,0.8834791457669489
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,4,0.125,0.3333333333333333,0.8762892627890168
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,5,0.1875,0.3333333333333333,0.8137446008105922
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,6,0.1875,0.5,0.8049767365594181
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,7,0.3125,0.5,0.6960048582964985
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,8,0.3125,0.6666666666666666,0.6126625112334523
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,9,0.5625,0.6666666666666666,0.30714954385265714
tubular_adenoma_vs_non_neoplastic,Full-feature baseline,10,0.5625,1.0,0.21138380785916433
